"Surface","WRank","LRank","Year","Sex"
"Hard",26,8,2000,"M"
"Hard",10,35,2000,"M"
"Hard",111,38,2000,"M"
"Hard",81,153,2000,"M"
"Hard",54,59,2000,"M"
"Hard",152,65,2000,"M"
"Hard",124,46,2000,"M"
"Hard",70,74,2000,"M"
"Hard",37,73,2000,"M"
"Hard",61,47,2000,"M"
"Hard",60,473,2000,"M"
"Hard",53,99,2000,"M"
"Hard",44,85,2000,"M"
"Hard",63,75,2000,"M"
"Hard",86,50,2000,"M"
"Hard",57,71,2000,"M"
"Hard",82,98,2000,"M"
"Hard",48,45,2000,"M"
"Hard",69,94,2000,"M"
"Hard",136,93,2000,"M"
"Hard",167,36,2000,"M"
"Hard",97,52,2000,"M"
"Hard",35,77,2000,"M"
"Hard",58,68,2000,"M"
"Hard",43,142,2000,"M"
"Hard",42,64,2000,"M"
"Hard",67,56,2000,"M"
"Hard",83,66,2000,"M"
"Hard",87,40,2000,"M"
"Hard",989,41,2000,"M"
"Hard",140,55,2000,"M"
"Hard",49,84,2000,"M"
"Hard",62,39,2000,"M"
"Hard",1,989,2000,"M"
"Hard",81,27,2000,"M"
"Hard",54,17,2000,"M"
"Hard",7,60,2000,"M"
"Hard",28,111,2000,"M"
"Hard",44,31,2000,"M"
"Hard",63,4,2000,"M"
"Hard",86,29,2000,"M"
"Hard",20,49,2000,"M"
"Hard",10,124,2000,"M"
"Hard",14,57,2000,"M"
"Hard",22,87,2000,"M"
"Hard",69,30,2000,"M"
"Hard",3,70,2000,"M"
"Hard",136,13,2000,"M"
"Hard",6,61,2000,"M"
"Hard",9,167,2000,"M"
"Hard",26,48,2000,"M"
"Hard",32,82,2000,"M"
"Hard",5,97,2000,"M"
"Hard",42,12,2000,"M"
"Hard",67,33,2000,"M"
"Hard",24,140,2000,"M"
"Hard",11,152,2000,"M"
"Hard",83,23,2000,"M"
"Hard",16,58,2000,"M"
"Hard",8,37,2000,"M"
"Hard",18,35,2000,"M"
"Hard",2,43,2000,"M"
"Hard",62,34,2000,"M"
"Hard",25,53,2000,"M"
"Hard",1,67,2000,"M"
"Hard",7,81,2000,"M"
"Hard",44,63,2000,"M"
"Hard",86,5,2000,"M"
"Hard",10,25,2000,"M"
"Hard",14,21,2000,"M"
"Hard",22,136,2000,"M"
"Hard",3,32,2000,"M"
"Hard",6,69,2000,"M"
"Hard",9,26,2000,"M"
"Hard",24,11,2000,"M"
"Hard",83,42,2000,"M"
"Hard",16,20,2000,"M"
"Hard",8,28,2000,"M"
"Hard",18,54,2000,"M"
"Hard",2,62,2000,"M"
"Hard",1,16,2000,"M"
"Hard",44,22,2000,"M"
"Hard",86,24,2000,"M"
"Hard",10,8,2000,"M"
"Hard",14,3,2000,"M"
"Hard",6,83,2000,"M"
"Hard",2,18,2000,"M"
"Hard",1,10,2000,"M"
"Hard",14,86,2000,"M"
"Hard",6,44,2000,"M"
"Hard",2,9,2000,"M"
"Hard",6,1,2000,"M"
"Hard",2,14,2000,"M"
"Clay",1,151,2000,"M"
"Clay",125,188,2000,"M"
"Clay",37,106,2000,"M"
"Clay",84,1312,2000,"M"
"Clay",120,170,2000,"M"
"Clay",79,105,2000,"M"
"Clay",22,136,2000,"M"
"Clay",36,96,2000,"M"
"Clay",89,127,2000,"M"
"Clay",57,374,2000,"M"
"Clay",92,115,2000,"M"
"Clay",117,82,2000,"M"
"Clay",74,88,2000,"M"
"Clay",101,94,2000,"M"
"Clay",168,93,2000,"M"
"Clay",43,123,2000,"M"
